title,category,price_gbp,price_inr,rating,in_stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,,,1,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,,,5,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,,,4,1
Soul Reader,Default,,,2,1
Security,Horror,,,2,1
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,,,3,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,,,2,1
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,,,2,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,,,3,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,,,5,1
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,,,5,1
"Pop Gun War, Volume 1: Gift",Sequential Art,,,1,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,,,2,1
Patience,Sequential Art,,,3,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,,,4,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,,,1,1
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,,,1,1
On a Midnight Clear,Add a comment,,,3,1
Obsidian (Lux #1),Young Adult,,,2,1
My Paris Kitchen: Recipes and Stories,Food and Drink,,,2,1
Masks and Shadows,Fantasy,,,2,1
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,,,4,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,,,2,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,,,3,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,,,2,1
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,,,1,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,,,2,1
Join,Science Fiction,,,5,1
In the Country We Love: My Family Divided,Nonfiction,,,4,1
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,,,5,1
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,,,2,1
I am a Hero Omnibus Volume 1,Sequential Art,,,3,1
How to Be Miserable: 40 Strategies You Already Use,Self Help,,,1,1
Her Backup Boyfriend (The Sorensen Family #1),Romance,,,1,1
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,,,2,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,,,3,1
First and First (Five Boroughs #3),Romance,,,4,1
Fifty Shades Darker (Fifty Shades #2),Romance,,,1,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,,,2,1
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,,,2,1
Danganronpa Volume 1,Sequential Art,,,4,1
Crown of Midnight (Throne of Glass #2),Fantasy,,,3,1
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,,,4,1
Camp Midnight,Sequential Art,,,4,1
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,,,5,1
Burning,Young Adult,,,3,1
Bossypants,Default,,,2,1
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,,,2,1
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,,,2,1
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,,,1,1
A World of Flavor: Your Gluten Free Passport,Default,,,1,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,,,5,1
A Murder in Time,Mystery,,,1,1
A Flight of Arrows (The Pathfinders #2),Historical Fiction,,,5,1
A Fierce and Subtle Poison,Young Adult,,,4,1
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,,,1,1
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,,,5,1
You Are What You Love: The Spiritual Power of Habit,Religion,,,4,1
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,,,4,1
Tuesday Nights in 1980,Fiction,,,2,1
Tracing Numbers on a Train,Default,,,3,1
Throne of Glass (Throne of Glass #1),Fantasy,,,3,1
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,,,1,1
Thirteen Reasons Why,Default,,,1,1
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,,,4,1
The Wedding Dress,Romance,,,1,1
The Vacationers,Fiction,,,4,1
The Third Wave: An Entrepreneurâs Vision of the Future,Business,,,5,1
The Stranger,Philosophy,,,4,1
The Shadow Hero (The Shadow Hero),Sequential Art,,,1,1
The Secret (The Secret #1),Default,,,4,1
The Regional Office Is Under Attack!,Fiction,,,5,1
The Psychopath Test: A Journey Through the Madness Industry,Default,,,2,1
The Project,Science Fiction,,,1,1
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,,,2,1
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,,,2,1
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,,,5,1
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,,,4,1
The Mistake (Off-Campus #2),New Adult,,,3,1
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,,,1,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,,,2,1
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,,,1,1
The Kite Runner,Default,,,4,1
The House by the Lake,Historical Fiction,,,1,1
The Glittering Court (The Glittering Court #1),Fantasy,,,1,1
The Girl on the Train,Default,,,2,1
The Genius of Birds,Nonfiction,,,1,1
The Emerald Mystery,Default,,,2,1
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,,,1,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,,,3,1
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,,,5,1
The Art of War,Default,,,5,1
The Argonauts,Autobiography,,,2,1
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,,,3,1
Suddenly in Love (Lake Haven #1),Romance,,,2,1
Something More Than This,Romance,,,4,1
Soft Apocalypse,Science Fiction,,,2,1
So You've Been Publicly Shamed,Nonfiction,,,2,1
Shoe Dog: A Memoir by the Creator of NIKE,Business,,,2,1
"Shobu Samurai, Project Aryoku (#3)",Add a comment,,,3,1
Secrets and Lace (Fatal Hearts #1),Default,,,1,1
Scarlett Epstein Hates It Here,Young Adult,,,5,1
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,,,1,1
Redeeming Love,Christian Fiction,,,5,1
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,,,1,1
Poems That Make Grown Women Cry,Poetry,,,4,1
"Nightingale, Sing",Young Adult,,,1,1
Night Sky with Exit Wounds,Poetry,,,1,1
Mrs. Houdini,Historical Fiction,,,5,1
Modern Romance,Add a comment,,,5,1
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,,,1,1
Louisa: The Extraordinary Life of Mrs. Adams,Biography,,,2,1
Little Red,Childrens,,,3,1
Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,,,5,1
Large Print Heart of the Pride,Default,,,2,1
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,,,4,1
Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,,,1,1
Grumbles,Default,,,2,1
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,,,4,1
Frostbite (Vampire Academy #2),Young Adult,,,5,1
Follow You Home,Horror,,,1,1
First Steps for New Christians (Print Edition),Default,,,1,1
Finders Keepers (Bill Hodges Trilogy #2),Fiction,,,5,1
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,,,4,1
Eureka Trivia 6.0,Default,,,4,1
Drive: The Surprising Truth About What Motivates Us,Default,,,4,1
Done Rubbed Out (Reightman & Bailey #1),Default,,,5,1
Doing It Over (Most Likely To #1),Romance,,,3,1
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,,,3,1
Dark Notes,Erotica,,,5,1
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,,,3,1
Close to You,Christian Fiction,,,4,1
Chasing Heaven: What Dying Taught Me About Living,Spirituality,,,2,1
Big Magic: Creative Living Beyond Fear,Nonfiction,,,3,1
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,,,2,1
Beauty Restored (Riley Family Legacy Novellas #3),Default,,,2,1
Batman: The Long Halloween (Batman),Sequential Art,,,2,1
Batman: The Dark Knight Returns (Batman),Sequential Art,,,5,1
Ayumi's Violin,Default,,,2,1
Anonymous,Default,,,4,1
Amy Meets the Saints and Sages,Default,,,3,1
Amid the Chaos,Cultural,,,1,1
Amatus,Default,,,5,1
Agnostic: A Spirited Manifesto,Nonfiction,,,5,1
Zealot: The Life and Times of Jesus of Nazareth,History,,,3,1
You (You #1),Thriller,,,5,1
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,,,4,1
Wild Swans,Young Adult,,,2,1
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,,,4,1
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,,,4,1
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,,,2,1
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,,,1,1
Walt Disney's Alice in Wonderland,Childrens,,,5,1
V for Vendetta (V for Vendetta Complete),Default,,,4,1
Until Friday Night (The Field Party #1),Young Adult,,,2,1
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,,,2,1
Twenty Yawns,Childrens,,,2,1
Through the Woods,Sequential Art,,,2,1
This Is Where It Ends,Young Adult,,,2,1
The Year of Magical Thinking,Nonfiction,,,2,1
The Wright Brothers,Default,,,4,1
The White Queen (The Cousins' War #1),Add a comment,,,5,1
The Wedding Pact (The O'Malleys #2),Romance,,,3,1
The Time Keeper,Fiction,,,5,1
The Testament of Mary,Fiction,,,4,1
The Star-Touched Queen,Fantasy,,,5,1
The Songs of the Gods,Default,,,5,1
The Song of Achilles,Add a comment,,,5,1
The Rosie Project (Don Tillman #1),Default,,,1,1
The Power of Habit: Why We Do What We Do in Life and Business,Default,,,3,1
The Marriage of Opposites,Historical Fiction,,,4,1
The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,,,1,1
The Long Haul (Diary of a Wimpy Kid #9),Humor,,,1,1
The Loney,Horror,,,1,1
The Literature Book (Big Ideas Simply Explained),Nonfiction,,,3,1
The Last Mile (Amos Decker #2),Mystery,,,2,1
The Immortal Life of Henrietta Lacks,Add a comment,,,2,1
The Hidden Oracle (The Trials of Apollo #1),Fantasy,,,2,1
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,,,3,1
The Guilty (Will Robie #4),Thriller,,,2,1
The First Hostage (J.B. Collins #2),Fiction,,,3,1
The Dovekeepers,Add a comment,,,1,1
The Darkest Lie,Young Adult,,,5,1
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,,,4,1
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Nonfiction,,,1,1
The 14th Colony (Cotton Malone #11),Thriller,,,1,1
That Darkness (Gardiner and Renner #1),Mystery,,,1,1
Tastes Like Fear (DI Marnie Rome #3),Mystery,,,1,1
Take Me with You,Fiction,,,3,1
Swell: A Year of Waves,Nonfiction,,,1,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,,,5,1
Still Life with Bread Crumbs,Fiction,,,3,1
Steve Jobs,Default,,,5,1
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,,,4,1
Someone Like You (The Harrisons #2),Contemporary,,,5,1
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,,,4,1
Shtum,Fiction,,,4,1
See America: A Celebration of Our National Parks & Treasured Sites,Travel,,,3,1
salt.,Poetry,,,4,1
Robin War,Sequential Art,,,3,1
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,,,2,1
Rain Fish,Childrens,,,3,1
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,,,5,1
Pet Sematary,Horror,,,3,1
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,,,3,1
Once Was a Time,Childrens,,,2,1
Old School (Diary of a Wimpy Kid #10),Humor,,,5,1
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,,,2,1
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,,,2,1
My Name Is Lucy Barton,Fiction,,,1,1
My Mrs. Brown,Fiction,,,3,1
My Kind of Crazy,Young Adult,,,1,1
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,,,1,1
More Than Music (Chasing the Dream #1),Add a comment,,,2,1
Made to Stick: Why Some Ideas Survive and Others Die,Business,,,5,1
Luis Paints the World,Childrens,,,3,1
Luckiest Girl Alive,Default,,,3,1
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,,,2,1
Love Is a Mix Tape (Music #1),Music,,,1,1
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,,,5,1
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,,,4,1
Let It Out: A Journey Through Journaling,Nonfiction,,,5,1
Lady Midnight (The Dark Artifices #1),Default,,,5,1
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,,,1,1
Island of Dragons (Unwanteds #7),Fantasy,,,1,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,,,4,1
I Am Pilgrim (Pilgrim #1),Fiction,,,4,1
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,,,5,1
"Hush, Hush (Hush, Hush #1)",Default,,,3,1
Hold Your Breath (Search and Rescue #1),Romance,,,1,1
Hamilton: The Revolution,Nonfiction,,,3,1
Greek Mythic History,Default,,,5,1
God: The Most Unpleasant Character in All Fiction,Religion,,,5,1
Glory over Everything: Beyond The Kitchen House,Historical Fiction,,,3,1
Feathers: Displays of Brilliant Plumage,Art,,,3,1
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,,,4,1
Every Last Word,Default,,,3,1
Eligible (The Austen Project #4),Fiction,,,3,1
El Deafo,Sequential Art,,,5,1
Eight Hundred Grapes,Fiction,,,4,1
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,,,5,1
"Eat Fat, Get Thin",Health,,,2,1
Don't Get Caught,Young Adult,,,1,1
Doctor Sleep (The Shining #2),Horror,,,2,1
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,,,5,1
Dear Mr. Knightley,Fiction,,,5,1
Daily Fantasy Sports,Default,,,1,1
Crazy Love: Overwhelmed by a Relentless God,Christian,,,2,1
Cometh the Hour (The Clifton Chronicles #6),Fiction,,,3,1
Code Name Verity (Code Name Verity #1),Add a comment,,,4,1
Clockwork Angel (The Infernal Devices #1),Default,,,1,1
City of Glass (The Mortal Instruments #3),Fantasy,,,4,1
City of Fallen Angels (The Mortal Instruments #4),Default,,,4,1
City of Bones (The Mortal Instruments #1),Default,,,1,1
City of Ashes (The Mortal Instruments #2),Default,,,1,1
Cell,Add a comment,,,4,1
Catching Jordan (Hundred Oaks),Young Adult,,,3,1
"Carry On, Warrior: Thoughts on Life Unarmed",Default,,,3,1
Carrie,Default,,,2,1
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,,,4,1
Brain on Fire: My Month of Madness,Nonfiction,,,5,1
Batman: Europa,Sequential Art,,,2,1
Barefoot Contessa Back to Basics,Food and Drink,,,1,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,,,5,1
Balloon Animals,Fiction,,,3,1
Art Ops Vol. 1,Sequential Art,,,3,1
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,,,4,1
Angels Walking (Angels Walking #1),Add a comment,,,2,1
Angels & Demons (Robert Langdon #1),Default,,,3,1
All the Light We Cannot See,Historical,,,5,1
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,,,2,1
Abstract City,Nonfiction,,,5,1
A Time of Torment (Charlie Parker #14),Mystery,,,5,1
A Study in Scarlet (Sherlock Holmes #1),Mystery,,,2,1
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,,,2,1
A People's History of the United States,Add a comment,,,2,1
A Man Called Ove,Fiction,,,1,1
A Distant Mirror: The Calamitous 14th Century,History,,,3,1
A Brush of Wings (Angels Walking #3),Add a comment,,,1,1
1491: New Revelations of the Americas Before Columbus,History,,,3,1
"The Three Searches, Meaning, and the Story",Default,,,3,1
Searching for Meaning in Gailana,Fantasy,,,1,1
Rook,Add a comment,,,4,1
My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,,,2,1
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,,,1,1
Will You Won't You Want Me?,Womens Fiction,,,3,1
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,,,1,1
The Star-Touched Queen,Fantasy,,,5,1
The Silent Sister (Riley MacPherson #1),Fiction,,,5,1
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,,,1,1
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,,,2,1
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,,,4,1
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,,,1,1
The Epidemic (The Program 0.6),Young Adult,,,5,1
The Dinner Party,Fiction,,,2,1
The Diary of a Young Girl,Nonfiction,,,3,1
The Children,Add a comment,,,3,1
Stars Above (The Lunar Chronicles #4.5),Young Adult,,,2,1
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,,,3,1
Raspberry Pi Electronics Projects for the Evil Genius,Default,,,4,1
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,,,1,1
Psycho: Sanitarium (Psycho #1.5),Horror,,,5,1
Poisonous (Max Revere Novels #3),Mystery,,,3,1
One with You (Crossfire #5),Add a comment,,,4,1
No Love Allowed (Dodge Cove #1),Young Adult,,,4,1
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,,,4,1
Most Wanted,Mystery,,,3,1
"Love, Lies and Spies",Historical Fiction,,,2,1
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,,,5,1
Hide Away (Eve Duncan #20),Mystery,,,1,1
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,,,4,1
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,,,5,1
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,,,1,1
Eleanor & Park,Default,,,5,1
Dirty (Dive Bar #1),Romance,,,4,1
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,,,1,1
Boar Island (Anna Pigeon #19),Mystery,,,3,1
A Paris Apartment,Historical Fiction,,,4,1
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,,,1,1
Troublemaker: Surviving Hollywood and Scientology,Default,,,2,1
The Widow,Mystery,,,2,1
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,,,4,1
The Improbability of Love,Fiction,,,1,1
The Art of Startup Fundraising,Business,,,3,1
Take Me Home Tonight (Rock Star Romance #3),Romance,,,3,1
Sleeping Giants (Themis Files #1),Science Fiction,,,1,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,,,2,1
Playing with Fire,Mystery,,,3,1
Off the Hook (Fishing for Trouble #1),Romance,,,3,1
